week,mean_stress,std_stress,mean_knowledge,std_knowledge,mean_motivation,mean_fatigue,mean_satisfaction,attendance_rate,assignments_submitted,assignments_late,assignments_missed,dropout_count,at_risk_count,is_exam_week
1,0.27287825858556947,0.06006599827953967,0.172522019397732,0.08169470441586721,0.65543541909718,0.0,0.6943058905142158,0.9333333333333333,59,1,0,0,0,False
2,0.20107698287263517,0.06684550988441453,0.17242725139341628,0.07998235668488514,0.6902481187838377,0.0,0.7204986257204821,0.8666666666666667,54,1,5,0,0,False
3,0.12951753796117402,0.07145159598839836,0.16936787703395068,0.07862841154291805,0.7155747952364984,0.0,0.7511403388210667,0.9333333333333333,60,0,0,0,0,False
4,0.07350067121709544,0.06892613235844924,0.1664019787052183,0.07715003298772193,0.7254561144934111,0.0,0.7827882064506504,0.8666666666666667,58,0,2,0,0,False
5,0.032227862783338265,0.056330529432316874,0.16396582151394776,0.07598603610356344,0.7136838633496101,0.0,0.8186359305728128,1.0,57,0,3,0,28,False
6,0.01973977177505859,0.04948544238548104,0.16053411147461558,0.07517235971968048,0.6801256720418999,0.0,0.8519809297555627,0.8666666666666667,60,0,0,0,28,False
7,0.22054523306799967,0.056750573344757166,0.1712828222032017,0.07722319079657097,0.6356720086773191,0.0,0.8768491738529494,0.8666666666666667,60,0,0,0,28,True
8,0.14508535532725272,0.07217473816928734,0.16717751803057357,0.07593208789748263,0.5964317057953183,0.0,0.9063434100311459,0.9666666666666667,55,0,5,0,28,False
9,0.0805371068465358,0.07832790706894102,0.16284820580177384,0.07454580438646416,0.5743171144584086,0.0,0.9368650969018684,0.9,59,1,0,0,28,False
10,0.04125467227012509,0.06970900308730146,0.1583460953374826,0.07314914733372833,0.5727932570303068,0.0,0.9680266647211913,0.9333333333333333,56,1,3,0,28,False
11,0.019932305465929615,0.057164605603257986,0.15396558094493834,0.07181859071784893,0.5889198758852531,0.0,0.9853562830941638,0.9666666666666667,60,0,0,0,28,False
12,0.012100567309513666,0.04931213492528966,0.14980548053845175,0.07072066147467171,0.6171676054376721,0.0,0.9934251655956949,0.9666666666666667,59,0,1,0,28,False
13,0.008161114013635366,0.0417418267500843,0.14543940476976655,0.06938741678777673,0.6522657473614316,0.0,0.996700598737956,0.9666666666666667,59,0,1,0,28,False
14,0.210602004757387,0.04886944237510474,0.15517661257771262,0.07145417146468395,0.6905504193324686,0.0,0.997297385497711,0.9333333333333333,58,0,2,0,28,True
