week,mean_stress,std_stress,mean_knowledge,std_knowledge,mean_motivation,mean_fatigue,mean_satisfaction,attendance_rate,assignments_submitted,assignments_late,assignments_missed,dropout_count,at_risk_count,is_exam_week
1,0.27287825858556947,0.06006599827953967,0.172522019397732,0.08169470441586721,0.65543541909718,0.0,0.6943058905142158,0.9333333333333333,59,1,0,0,0,False
2,0.3376690089087385,0.06696357069687157,0.17126113255638165,0.07992762051018869,0.6406210722005673,0.0,0.6845386742132052,0.8666666666666667,54,1,5,0,0,False
3,0.4285595138048582,0.07630760608888003,0.16658191766984948,0.07844124545101563,0.6188370124584375,0.0,0.6715846637855951,0.9,57,0,3,0,0,False
4,0.5498016550199681,0.09186619992925751,0.16118537281275777,0.07676643343719448,0.5851177598607915,0.0,0.6521104418500712,0.8333333333333334,53,2,5,0,0,False
5,0.5559136327807814,0.10796808437592492,0.1556951042684426,0.07526767038833716,0.5828638487694192,0.0,0.6643692016932007,0.9333333333333333,44,0,16,0,28,False
6,0.5391253381260622,0.1307149240669616,0.1498451255164927,0.07380273347784803,0.562073455907864,0.0,0.674424922727237,0.8,51,2,7,0,28,False
7,0.7452339169513506,0.14322152070993774,0.15999208408546034,0.07580734766873713,0.5314645178570704,0.0,0.6739302112277537,0.7,50,0,10,0,28,True
8,0.6636559681777209,0.1579214464898813,0.15359112484640425,0.07403813356862769,0.5044452823407792,0.0,0.679095091990719,0.8333333333333334,43,1,16,0,28,False
9,0.5889819677549063,0.18009790147949123,0.14725456287769306,0.07240309560963505,0.4913084007084521,0.0,0.685115563954274,0.7333333333333333,42,3,15,0,28,False
10,0.5152007233651639,0.20135823882646905,0.14097532103884575,0.07082087557802544,0.4953953946043966,0.0,0.694794822299045,0.7666666666666667,39,2,19,0,28,False
11,0.4434176507795948,0.2119540094531653,0.13488555600093183,0.06932577295040585,0.5145373022999229,0.0,0.708870155957527,0.8333333333333334,51,0,9,0,28,False
12,0.37503649279136414,0.2219467611457584,0.129040095512411,0.06791667940861655,0.5441749769866587,0.0,0.7259771126824056,0.8333333333333334,50,0,10,0,28,False
13,0.3139380894819835,0.21941285390592202,0.12314914364629749,0.06636261439554472,0.5798175759139558,0.0,0.7458844315289322,0.8333333333333334,47,1,12,0,28,False
14,0.49450084534478184,0.23393470520074536,0.13165946442171725,0.06834116452417222,0.6182817633089537,0.0,0.759620548681564,0.8666666666666667,51,1,8,0,28,True
